iter	Passed	Remaining
0	57	57456
1	57	28933
2	58	19377
3	58	14605
4	59	11768
5	59	9873
6	60	8520
7	60	7502
8	60	6711
9	61	6063
10	61	5534
11	61	5096
12	62	4727
13	62	4408
14	62	4135
15	63	3897
16	63	3688
17	64	3505
18	64	3339
19	65	3186
20	65	3045
21	65	2918
22	65	2803
23	66	2698
24	66	2602
25	67	2516
26	67	2436
27	68	2362
28	68	2293
29	68	2228
30	69	2170
31	69	2113
32	70	2060
33	70	2008
34	71	1961
35	71	1916
36	72	1875
37	72	1834
38	72	1793
39	73	1756
40	74	1737
41	74	1705
42	75	1674
43	75	1644
44	76	1615
45	76	1586
46	76	1560
47	77	1535
48	77	1509
49	78	1486
50	78	1462
51	79	1440
52	79	1418
53	79	1398
54	80	1377
55	80	1357
56	80	1338
57	81	1318
58	81	1300
59	81	1281
60	82	1266
61	82	1250
62	83	1235
63	83	1220
64	83	1206
65	84	1193
66	84	1180
67	84	1163
68	85	1148
69	85	1136
70	85	1123
71	86	1111
72	86	1098
73	86	1087
74	87	1075
75	87	1063
76	87	1053
77	88	1043
78	88	1034
79	89	1025
80	89	1017
81	90	1007
82	90	999
83	90	991
84	91	981
85	91	973
86	92	973
87	93	965
88	93	958
89	94	950
90	94	944
91	94	936
92	95	930
93	95	923
94	96	916
95	96	909
96	96	902
97	97	895
98	97	888
99	97	881
100	98	874
101	98	865
102	98	859
103	99	853
104	99	847
105	99	841
106	100	835
107	100	829
108	100	823
109	101	818
110	101	813
111	101	807
112	102	802
113	102	797
114	103	792
115	103	787
116	103	783
117	104	780
118	104	774
119	105	770
120	105	765
121	105	761
122	105	755
123	106	750
124	106	745
125	106	741
126	107	737
127	107	732
128	107	729
129	108	725
130	108	721
131	109	718
132	109	714
133	109	710
134	110	706
135	110	702
136	110	699
137	111	695
138	111	692
139	112	689
140	112	686
141	113	683
142	113	680
143	113	677
144	114	674
145	114	671
146	115	668
147	115	664
148	115	661
149	116	658
150	116	656
151	117	653
152	117	651
153	118	648
154	118	645
155	118	642
156	119	639
157	119	637
158	120	635
159	120	633
160	121	630
161	121	628
162	121	626
163	122	623
164	122	621
165	123	618
166	123	615
167	123	612
168	124	609
169	124	607
170	124	604
171	125	601
172	125	599
173	125	597
174	126	595
175	126	593
176	127	591
177	127	589
178	128	587
179	128	585
180	128	582
181	129	580
182	129	579
183	130	576
184	130	574
185	130	572
186	131	569
187	131	567
188	131	565
189	132	562
190	132	561
191	133	559
192	133	558
193	137	570
194	137	568
195	138	566
196	138	564
197	138	562
198	139	560
199	139	558
200	139	556
201	140	554
202	140	552
203	141	550
204	141	548
205	141	546
206	142	545
207	144	551
208	145	550
209	145	548
210	146	547
211	146	545
212	147	544
213	147	542
214	148	540
215	148	539
216	148	537
217	149	535
218	149	534
219	150	532
220	150	530
221	151	530
222	151	529
223	152	527
224	152	525
225	152	523
226	153	522
227	153	520
228	154	519
229	156	523
230	156	521
231	157	520
232	157	518
233	157	517
234	158	515
235	158	513
236	159	512
237	159	510
238	159	509
239	160	507
240	160	505
241	160	504
242	161	502
243	161	501
244	162	499
245	162	498
246	163	497
247	163	495
248	164	494
249	164	493
250	164	491
251	165	490
252	165	488
253	165	487
254	166	485
255	166	484
256	166	482
257	167	481
258	167	479
259	167	478
260	168	476
261	168	475
262	169	473
263	169	472
264	169	471
265	170	470
266	171	470
267	174	476
268	178	485
269	180	487
270	181	487
271	181	486
272	182	486
273	183	485
274	183	484
275	184	483
276	184	482
277	185	481
278	185	480
279	186	479
280	186	478
281	187	477
282	188	476
283	188	475
284	189	474
285	189	474
286	190	473
287	191	472
288	191	471
289	192	471
290	193	472
291	195	474
292	196	474
293	197	474
294	198	474
295	200	477
296	202	478
297	204	481
298	205	482
299	207	484
300	208	484
301	209	483
302	210	483
303	210	482
304	211	481
305	212	481
306	212	480
307	213	479
308	213	477
309	214	476
310	214	475
311	215	475
312	216	474
313	217	474
314	217	472
315	217	471
316	218	471
317	219	469
318	219	468
319	219	467
320	220	466
321	220	465
322	221	464
323	221	462
324	222	461
325	222	460
326	223	459
327	223	458
328	224	457
329	225	456
330	225	456
331	226	455
332	227	455
333	228	455
334	229	454
335	229	454
336	230	453
337	231	453
338	232	452
339	233	452
340	233	452
341	235	452
342	235	451
343	236	450
344	236	449
345	237	449
346	238	448
347	239	448
348	240	447
349	240	446
350	241	446
351	242	445
352	242	444
353	243	445
354	244	444
355	245	443
356	246	443
357	247	442
358	247	441
359	248	441
360	249	441
361	249	440
362	251	440
363	251	439
364	251	438
365	252	437
366	253	437
367	254	436
368	263	450
369	264	449
370	264	448
371	265	447
372	266	447
373	266	446
374	268	446
375	269	447
376	270	446
377	271	447
378	272	446
379	273	445
380	273	445
381	274	444
382	275	443
383	275	442
384	276	442
385	277	441
386	278	441
387	279	440
388	279	439
389	280	438
390	280	437
391	281	436
392	282	435
393	282	434
394	282	433
395	283	432
396	283	431
397	284	430
398	285	430
399	286	430
400	287	429
401	288	428
402	289	428
403	290	427
404	290	427
405	291	426
406	291	425
407	292	424
408	293	423
409	294	424
410	296	424
411	296	423
412	297	423
413	298	422
414	299	421
415	299	420
416	299	419
417	300	418
418	300	416
419	300	415
420	301	414
421	301	413
422	302	412
423	302	410
424	302	409
425	303	408
426	303	407
427	303	405
428	304	404
429	304	403
430	304	402
431	304	400
432	305	400
433	306	399
434	306	398
435	307	397
436	307	396
437	308	395
438	309	395
439	310	394
440	310	394
441	311	393
442	312	392
443	312	391
444	313	391
445	314	390
446	314	389
447	314	387
448	315	386
449	316	386
450	317	386
451	317	385
452	318	384
453	318	383
454	318	382
455	319	380
456	319	379
457	320	379
458	320	378
459	321	377
460	322	376
461	335	391
462	337	391
463	337	390
464	337	388
465	338	387
466	338	386
467	339	385
468	339	384
469	339	383
470	339	381
471	340	380
472	340	379
473	341	378
474	341	377
475	342	376
476	343	376
477	343	375
478	344	374
479	345	374
480	346	374
481	347	373
482	348	372
483	350	373
484	350	372
485	351	371
486	352	370
487	353	370
488	354	370
489	354	369
490	355	368
491	355	367
492	356	366
493	357	365
494	357	364
495	358	363
496	358	362
497	359	362
498	359	361
499	360	360
500	361	359
501	361	358
502	362	358
503	363	358
504	364	357
505	365	357
506	366	356
507	366	355
508	367	354
509	367	353
510	368	352
511	369	351
512	370	351
513	371	351
514	373	352
515	376	353
516	378	353
517	379	352
518	379	352
519	380	351
520	381	350
521	381	349
522	382	348
523	386	351
524	387	350
525	388	350
526	389	349
527	389	348
528	390	348
529	391	347
530	392	346
531	393	345
532	393	344
533	394	343
534	394	342
535	395	341
536	409	352
537	409	352
538	410	351
539	411	350
540	411	349
541	412	348
542	412	347
543	413	346
544	413	345
545	413	344
546	414	343
547	414	342
548	415	340
549	415	339
550	415	338
551	416	338
552	417	337
553	417	336
554	418	335
555	419	335
556	420	334
557	421	333
558	421	332
559	422	331
560	422	330
561	423	329
562	423	328
563	423	327
564	424	326
565	424	325
566	425	324
567	425	323
568	425	322
569	426	321
570	426	320
571	426	319
572	427	318
573	427	317
574	428	316
575	428	315
576	429	314
577	429	313
578	430	312
579	430	311
580	431	311
581	431	310
582	432	309
583	432	308
584	433	307
585	433	306
586	434	305
587	435	305
588	436	304
589	437	303
590	438	303
591	439	302
592	439	301
593	440	301
594	441	300
595	441	299
596	442	298
597	442	297
