iter	Passed	Remaining
0	56	56622
1	56	28416
2	57	19007
3	57	14311
4	57	11494
5	58	9610
6	58	8263
7	58	7252
8	58	6466
9	58	5836
10	59	5326
11	59	4904
12	59	4546
13	60	4239
14	60	3972
15	60	3739
16	61	3534
17	61	3352
18	61	3185
19	62	3039
20	62	2903
21	62	2778
22	62	2664
23	62	2560
24	63	2466
25	63	2377
26	63	2296
27	63	2221
28	64	2149
29	64	2084
30	64	2021
31	64	1964
32	65	1910
33	65	1859
34	65	1811
35	66	1767
36	66	1724
37	66	1683
38	66	1645
39	67	1608
40	67	1573
41	67	1540
42	67	1510
43	68	1480
44	68	1451
45	68	1422
46	68	1395
47	69	1369
48	69	1345
49	69	1322
50	69	1299
51	70	1277
52	70	1256
53	70	1236
54	70	1216
55	71	1197
56	71	1179
57	71	1161
58	71	1145
59	72	1128
60	72	1112
61	72	1097
62	72	1082
63	73	1068
64	73	1054
65	73	1040
66	73	1027
67	74	1014
68	74	1002
69	74	990
70	74	978
71	75	967
72	75	956
73	75	945
74	75	934
75	76	924
76	76	914
77	76	904
78	76	894
79	76	885
80	77	876
81	77	867
82	77	856
83	77	848
84	78	839
85	78	831
86	78	823
87	78	816
88	78	808
89	79	800
90	79	793
91	79	788
92	80	781
93	80	774
94	80	770
95	81	763
96	81	756
97	81	750
98	81	744
99	82	738
100	82	732
101	82	726
102	82	720
103	82	714
104	83	709
105	83	704
106	83	698
107	84	694
108	84	689
109	84	684
110	84	679
111	85	674
112	85	669
113	85	664
114	85	659
115	85	655
116	86	650
117	86	645
118	86	641
119	86	636
120	87	632
121	87	627
122	87	623
123	87	619
124	87	615
125	88	611
126	88	606
127	88	602
128	88	600
129	89	597
130	89	593
131	89	589
132	89	585
133	90	582
134	90	578
135	90	575
136	90	572
137	91	568
138	91	565
139	91	562
140	91	558
141	91	555
142	92	552
143	92	548
144	92	545
145	92	542
146	93	539
147	93	536
148	93	533
149	93	530
150	93	527
151	94	525
152	94	522
153	94	519
154	94	516
155	95	514
156	95	512
157	95	509
158	96	508
159	96	506
160	96	503
161	96	501
162	97	498
163	97	496
164	97	494
165	97	491
166	98	489
167	98	487
168	98	484
169	98	482
170	99	480
171	99	478
172	99	476
173	99	474
174	100	472
175	100	470
176	100	468
177	100	466
178	101	464
179	101	462
180	101	460
181	102	458
182	102	456
183	102	454
184	102	453
185	103	452
186	103	451
187	104	449
188	104	447
189	104	446
190	104	444
191	105	442
192	105	440
193	105	438
194	105	436
195	106	435
196	106	433
197	106	431
198	106	430
199	107	428
200	107	427
201	107	425
202	108	424
203	108	422
204	108	420
205	108	419
206	108	417
207	109	415
208	109	414
209	109	412
210	109	411
211	110	409
212	110	408
213	110	406
214	111	405
215	111	404
216	111	402
217	111	401
218	112	399
219	112	398
220	112	397
221	112	395
222	113	394
223	113	392
224	113	391
225	113	389
226	114	388
227	114	387
228	114	385
229	114	384
230	115	383
231	115	381
232	115	380
233	115	379
234	116	377
235	116	376
236	116	375
237	116	373
238	117	372
239	117	371
240	117	370
241	118	369
242	118	368
243	118	367
244	118	366
245	119	364
246	119	363
247	119	362
248	119	361
249	120	362
250	121	361
251	121	360
252	121	359
253	121	358
254	122	356
255	122	355
256	122	354
257	122	353
258	123	352
259	123	351
260	123	349
261	123	348
262	124	347
263	124	346
264	124	345
265	124	344
266	125	343
267	125	342
268	125	341
269	125	340
270	126	339
271	126	338
272	126	337
273	127	336
274	127	335
275	127	335
276	127	333
277	128	332
278	128	331
279	128	330
280	128	329
281	129	328
282	129	327
283	129	326
284	129	325
285	130	324
286	130	323
287	130	322
288	130	321
289	131	320
290	131	319
291	131	319
292	131	318
293	132	317
294	132	316
295	132	315
296	132	314
297	133	313
298	133	312
299	133	312
300	134	311
301	134	310
302	134	309
303	135	309
304	135	308
305	135	307
306	135	306
307	136	305
308	136	304
309	136	304
310	136	303
311	137	302
312	137	301
313	137	300
314	137	299
315	138	298
316	138	297
317	138	297
318	138	296
319	139	295
320	139	294
321	139	293
322	139	293
323	140	292
324	140	291
325	140	290
326	140	290
327	141	289
328	141	288
329	141	287
330	141	286
331	142	286
332	142	285
333	142	284
334	142	283
335	143	282
336	143	282
337	143	281
338	143	280
339	144	279
340	144	279
341	144	278
342	144	277
343	145	276
344	145	275
345	145	275
346	145	274
347	146	273
348	146	272
349	146	272
350	146	271
351	147	270
352	147	270
353	147	269
354	147	268
355	148	267
356	148	267
357	148	266
358	148	265
359	149	265
360	149	264
361	149	264
362	150	263
363	150	262
364	150	262
365	151	261
366	151	260
367	151	260
368	151	259
369	152	259
370	152	258
371	152	258
372	153	257
373	153	256
374	153	256
375	153	255
376	154	254
377	154	254
378	154	253
379	154	252
380	155	252
381	155	251
382	155	250
383	155	250
384	156	249
385	156	248
386	156	248
387	156	247
388	157	246
389	157	246
390	157	245
391	157	244
392	158	244
393	158	243
394	158	242
395	158	242
396	159	241
397	159	241
398	159	240
399	159	239
400	160	239
401	160	238
402	160	237
403	160	237
404	161	236
405	161	236
406	161	235
407	161	234
408	162	234
409	162	233
410	162	233
411	162	232
412	163	232
413	163	231
414	163	230
415	164	230
416	164	230
417	164	229
418	165	229
419	165	228
420	165	227
421	165	227
422	166	226
423	166	226
424	166	225
425	166	224
426	167	224
427	167	223
428	167	223
429	168	222
430	168	222
431	168	221
432	168	221
433	169	220
434	169	219
435	169	219
436	169	218
437	170	218
438	170	217
439	170	216
440	170	216
441	170	215
442	171	215
443	171	214
444	171	214
445	172	213
446	172	213
447	172	212
448	172	212
449	173	211
450	173	211
451	173	210
452	174	210
453	174	209
454	174	209
455	175	208
456	175	208
457	175	207
458	175	207
459	176	206
460	176	206
461	176	205
462	176	204
463	177	204
464	177	204
465	177	203
466	177	203
467	178	202
468	178	201
469	178	201
470	179	201
471	179	200
472	179	200
473	179	199
474	180	199
475	180	198
476	180	198
477	180	197
478	181	196
479	181	196
480	181	196
481	182	195
482	182	195
483	182	194
484	183	194
485	183	193
486	183	193
487	183	192
488	184	192
489	184	191
490	184	191
491	185	191
492	185	190
493	185	190
494	185	189
495	186	189
496	186	188
497	186	188
498	187	187
499	187	187
500	187	186
501	187	186
502	188	185
503	188	185
504	188	184
505	188	184
506	188	183
507	189	183
508	189	182
509	189	182
510	190	182
511	190	181
512	190	181
513	191	180
514	191	180
515	191	179
516	192	179
517	192	178
518	192	178
519	192	178
520	193	177
521	193	177
522	193	176
523	194	176
524	194	175
525	194	175
526	194	174
527	195	174
528	195	174
529	195	173
530	195	173
531	196	172
532	196	172
533	196	171
534	196	171
535	197	170
536	197	170
537	197	169
538	198	169
539	198	168
540	198	168
541	198	168
542	199	167
543	199	167
544	199	166
545	200	166
546	200	165
547	200	165
548	200	165
549	201	164
550	201	164
551	201	163
552	202	163
553	202	162
554	202	162
555	202	161
556	203	161
557	203	161
558	203	160
559	203	160
560	203	159
561	204	159
562	204	158
563	204	158
564	204	157
565	205	157
566	205	156
567	205	156
568	205	156
569	206	155
570	206	155
571	206	154
572	206	154
573	207	153
574	207	153
575	207	152
576	208	152
577	208	152
578	208	151
579	208	151
580	209	150
581	209	150
582	210	150
583	210	149
584	210	149
585	210	149
586	211	148
587	211	148
588	211	147
589	211	147
590	212	146
591	212	146
592	212	146
593	213	145
594	213	145
595	213	144
596	214	144
597	214	144
598	214	143
599	214	143
600	215	142
601	215	142
602	215	142
603	216	141
604	216	141
605	216	140
606	217	140
607	217	140
608	217	139
609	218	139
610	218	138
611	218	138
612	218	138
613	219	137
614	219	137
615	219	136
616	219	136
617	220	136
618	220	135
619	220	135
620	221	134
621	221	134
622	221	134
623	221	133
624	222	133
625	222	132
626	222	132
627	223	132
628	223	131
629	223	131
630	224	131
631	224	130
632	224	130
633	224	129
634	225	129
635	225	129
636	225	128
637	226	128
638	226	127
639	226	127
640	226	127
641	227	126
642	227	126
643	227	125
644	227	125
645	228	125
646	228	124
647	228	124
648	229	123
649	229	123
650	229	123
651	230	122
652	230	122
653	230	122
654	231	121
655	231	121
656	231	120
657	231	120
658	232	120
659	232	119
660	232	119
661	233	119
662	233	118
663	233	118
664	233	117
665	234	117
666	234	116
667	234	116
668	234	116
669	235	115
670	235	115
671	235	115
672	235	114
673	236	114
674	236	113
675	236	113
676	236	113
677	237	112
678	237	112
679	237	111
680	238	111
681	238	111
682	238	110
683	238	110
684	239	109
685	239	109
686	239	109
687	239	108
688	240	108
689	240	107
690	240	107
691	240	107
692	241	106
693	241	106
694	241	106
695	241	105
696	242	105
697	242	104
698	242	104
699	242	104
700	243	103
701	243	103
702	243	102
703	243	102
704	243	102
705	244	101
706	244	101
707	244	100
708	245	100
709	245	100
710	245	99
711	245	99
712	246	99
713	246	98
714	246	98
715	246	97
716	247	97
717	247	97
718	247	96
719	248	96
720	248	96
721	248	95
722	248	95
723	248	94
724	249	94
725	249	94
726	249	93
727	249	93
728	250	93
729	250	92
730	250	92
731	250	91
732	251	91
733	251	91
734	251	90
735	252	90
736	252	90
737	252	89
738	252	89
739	253	88
740	253	88
741	253	88
742	253	87
743	254	87
744	254	87
745	254	86
746	255	86
747	255	86
748	255	85
749	255	85
750	256	84
751	256	84
752	256	84
753	256	83
754	256	83
755	257	83
756	257	82
757	257	82
758	258	81
759	258	81
760	258	81
761	258	80
762	259	80
763	259	80
764	259	79
765	259	79
766	260	79
767	260	78
768	260	78
769	260	77
770	261	77
771	261	77
772	261	76
773	262	76
774	262	76
775	262	75
776	262	75
777	263	75
778	263	74
779	263	74
780	263	73
781	263	73
782	264	73
783	264	72
784	264	72
785	264	72
786	265	71
787	265	71
788	265	71
789	265	70
790	266	70
791	266	69
792	266	69
793	266	69
794	267	68
795	267	68
796	267	68
797	268	67
798	268	67
799	268	67
800	268	66
801	269	66
802	269	66
803	269	65
804	269	65
805	270	65
806	270	64
807	270	64
808	271	63
809	271	63
810	271	63
811	271	62
812	272	62
813	272	62
814	272	61
815	273	61
816	273	61
817	273	60
818	273	60
819	274	60
820	274	59
821	274	59
822	275	59
823	275	58
824	275	58
825	275	58
826	276	57
827	276	57
828	276	57
829	276	56
830	277	56
831	277	56
832	277	55
833	278	55
834	278	55
835	278	54
836	279	54
837	279	53
838	279	53
839	279	53
840	280	52
841	280	52
842	280	52
843	280	51
844	281	51
845	281	51
846	281	50
847	281	50
848	282	50
849	282	49
850	282	49
851	283	49
852	283	48
853	283	48
854	283	48
855	284	47
856	284	47
857	284	47
858	284	46
859	285	46
860	285	46
861	285	45
862	285	45
863	286	45
864	286	44
865	286	44
866	287	44
867	287	43
868	287	43
869	287	43
870	288	42
871	288	42
872	288	41
873	288	41
874	289	41
875	289	40
876	289	40
877	289	40
878	290	39
879	290	39
880	290	39
881	290	38
882	291	38
883	291	38
884	291	37
885	291	37
886	292	37
887	292	36
888	292	36
889	292	36
890	293	35
891	293	35
892	293	35
893	294	34
894	294	34
895	294	34
896	294	33
897	294	33
898	295	33
899	295	32
900	295	32
901	295	32
902	296	31
903	296	31
904	296	31
905	296	30
906	297	30
907	297	30
908	297	29
909	297	29
910	298	29
911	298	28
912	298	28
913	298	28
914	299	27
915	299	27
916	299	27
917	299	26
918	300	26
919	300	26
920	300	25
921	301	25
922	301	25
923	301	24
924	302	24
925	302	24
926	302	23
927	302	23
928	303	23
929	303	22
930	303	22
931	303	22
932	304	21
933	304	21
934	304	21
935	304	20
936	305	20
937	305	20
938	305	19
939	305	19
940	306	19
941	306	18
942	306	18
943	306	18
944	307	17
945	307	17
946	307	17
947	307	16
948	308	16
949	308	16
950	308	15
951	308	15
952	309	15
953	309	14
954	309	14
955	309	14
956	310	13
957	310	13
958	310	13
959	311	12
960	311	12
961	312	12
962	312	12
963	312	11
964	312	11
965	313	11
966	313	10
967	313	10
968	313	10
969	314	9
970	314	9
971	314	9
972	314	8
973	315	8
974	315	8
975	315	7
976	315	7
977	316	7
978	316	6
979	316	6
980	316	6
981	317	5
982	317	5
983	317	5
984	318	4
985	318	4
986	318	4
987	318	3
988	319	3
989	319	3
990	319	2
991	320	2
992	320	2
993	320	1
994	320	1
995	321	1
996	321	0
997	321	0
998	321	0
999	321	0
